PurchaseOrderID,SupplierID,OrderDate,DeliveryMethodID,ExpectedDeliveryDate,SupplierReference,PurchaseOrderLineID,StockItemID,OrderedOuters,Description,ReceivedOuters,PackageTypeID,ExpectedUnitPricePerOuter,Right_LastEditedBy
1,2,1/1/2019,9,1/15/2019,B2084020,1,150,18,Pack of 12 action figures (variety),18,9,5.5,6
1,2,1/1/2019,9,1/15/2019,B2084020,2,151,21,Pack of 12 action figures (male),21,9,5.5,6
1,2,1/1/2019,9,1/15/2019,B2084020,3,152,18,Pack of 12 action figures (female),18,9,5.5,6
10,10,1/2/2019,8,1/22/2019,ML0300202,136,60,83,RC toy sedan car with remote control (Blue) 1/50 scale,83,7,12.5,5
11,12,1/2/2019,7,1/22/2019,237408032,137,1,88,USB missile launcher (Green),88,7,9.5,5
11,12,1/2/2019,7,1/22/2019,237408032,138,3,15,Office cube periscope (Black),15,6,112.5,5
11,12,1/2/2019,7,1/22/2019,237408032,139,15,196,USB food flash drive - dessert 10 drive variety pack,196,9,88.5,5
12,4,1/3/2019,7,1/23/2019,293092,140,77,11,"""The Gu"" red shirt XML tag t-shirt (White) XXS",11,6,84.0,3
12,4,1/3/2019,7,1/23/2019,293092,141,101,5,"""The Gu"" red shirt XML tag t-shirt (Black) 7XL",5,6,102.0,3
12,4,1/3/2019,7,1/23/2019,293092,142,108,6,Superhero action jacket (Blue) XXS,6,7,19.0,3
12,4,1/3/2019,7,1/23/2019,293092,143,114,6,Superhero action jacket (Blue) XXL,6,7,22.0,3
12,4,1/3/2019,7,1/23/2019,293092,144,119,27,Dinosaur battery-powered slippers (Green) M,27,7,8.0,3
12,4,1/3/2019,7,1/23/2019,293092,145,120,36,Dinosaur battery-powered slippers (Green) L,36,7,8.0,3
12,4,1/3/2019,7,1/23/2019,293092,146,129,27,Plush shark slippers (Gray) XL,27,7,8.5,3
12,4,1/3/2019,7,1/23/2019,293092,147,139,8,Furry animal socks (Pink) M,8,9,18.0,3
12,4,1/3/2019,7,1/23/2019,293092,148,143,18,Halloween zombie mask (Light Brown) M,18,6,228.0,3
13,5,1/3/2019,10,1/23/2019,8803922,149,32,26,Developer joke mug - that's a hardware problem (White),26,7,4.5,3
13,5,1/3/2019,10,1/23/2019,8803922,150,33,32,Developer joke mug - that's a hardware problem (Black),32,7,4.5,3
14,7,1/3/2019,2,1/23/2019,BC0280982,151,153,11,Small sized bubblewrap roll 10m,11,7,22.0,3
14,7,1/3/2019,2,1/23/2019,BC0280982,152,155,24,Large sized bubblewrap roll 50m,24,7,130.0,3
14,7,1/3/2019,2,1/23/2019,BC0280982,153,159,5,20 mm Double sided bubble wrap 10m,5,7,80.0,3
14,7,1/3/2019,2,1/23/2019,BC0280982,154,169,6,20 mm Anti static bubble wrap (Blue) 20m,6,7,210.0,3
14,7,1/3/2019,2,1/23/2019,BC0280982,155,173,8,32 mm Anti static bubble wrap (Blue) 50m,8,7,470.0,3
14,7,1/3/2019,2,1/23/2019,BC0280982,156,175,10,Bubblewrap dispenser (Blue) 1.5m,10,7,110.0,3
14,7,1/3/2019,2,1/23/2019,BC0280982,157,176,23,Bubblewrap dispenser (Red) 1.5m,23,7,110.0,3
14,7,1/3/2019,2,1/23/2019,BC0280982,158,177,4,Shipping carton (Brown) 413x285x187mm,4,7,13.75,3
14,7,1/3/2019,2,1/23/2019,BC0280982,159,179,7,Shipping carton (Brown) 229x229x229mm,7,7,13.75,3
14,7,1/3/2019,2,1/23/2019,BC0280982,160,185,17,Shipping carton (Brown) 356x356x279mm,17,7,26.25,3
14,7,1/3/2019,2,1/23/2019,BC0280982,161,187,23,Express post box 5kg (White) 350x280x130mm,23,7,11.25,3
14,7,1/3/2019,2,1/23/2019,BC0280982,162,189,4,Clear packaging tape 48mmx75m,4,7,44.2,3
14,7,1/3/2019,2,1/23/2019,BC0280982,163,190,4,Clear packaging tape 48mmx100m,4,7,36.0,3
14,7,1/3/2019,2,1/23/2019,BC0280982,164,201,6,Red and white urgent despatch tape 48mmx75m,6,7,38.4,3
14,7,1/3/2019,2,1/23/2019,BC0280982,165,203,6,Tape dispenser (Black),6,7,170.0,3
14,7,1/3/2019,2,1/23/2019,BC0280982,166,217,9,Void fill 200 L bag (White) 200L,9,7,160.0,3
15,10,1/3/2019,8,1/23/2019,ML0300202,167,68,47,Ride on toy sedan car (Red) 1/12 scale,47,7,145.0,3
15,10,1/3/2019,8,1/23/2019,ML0300202,168,74,42,Ride on vintage American toy coupe (Black) 1/12 scale,42,7,155.0,3
16,12,1/3/2019,7,1/23/2019,237408032,169,4,104,USB food flash drive - sushi roll,104,7,12.0,3
16,12,1/3/2019,7,1/23/2019,237408032,170,10,111,USB food flash drive - chocolate bar,111,7,12.0,3
16,12,1/3/2019,7,1/23/2019,237408032,171,13,99,USB food flash drive - shrimp cocktail,99,7,12.0,3
17,4,1/4/2019,7,1/18/2019,293092,172,77,9,"""The Gu"" red shirt XML tag t-shirt (White) XXS",9,6,84.0,14
17,4,1/4/2019,7,1/18/2019,293092,173,83,12,"""The Gu"" red shirt XML tag t-shirt (White) XXL",12,6,90.0,14
17,4,1/4/2019,7,1/18/2019,293092,174,131,21,Furry gorilla with big eyes slippers (Black) M,21,7,8.0,14
17,4,1/4/2019,7,1/18/2019,293092,175,132,24,Furry gorilla with big eyes slippers (Black) L,24,7,8.0,14
17,4,1/4/2019,7,1/18/2019,293092,176,142,16,Halloween zombie mask (Light Brown) S,16,6,228.0,14
17,4,1/4/2019,7,1/18/2019,293092,177,145,13,Halloween zombie mask (Light Brown) XL,13,6,228.0,14
18,5,1/4/2019,10,1/18/2019,8803922,178,17,33,DBA joke mug - mind if I join you? (Black),33,7,4.5,14
18,5,1/4/2019,10,1/18/2019,8803922,179,53,31,IT joke mug - keyboard not found . press F1 to continue (Black),31,7,4.5,14
19,7,1/4/2019,2,1/18/2019,BC0280982,180,157,5,10 mm Double sided bubble wrap 20m,5,7,140.0,14
19,7,1/4/2019,2,1/18/2019,BC0280982,181,161,12,20 mm Double sided bubble wrap 50m,12,7,160.0,14
19,7,1/4/2019,2,1/18/2019,BC0280982,182,174,7,Bubblewrap dispenser (Black) 1.5m,7,7,110.0,14
19,7,1/4/2019,2,1/18/2019,BC0280982,183,180,9,Shipping carton (Brown) 279x254x217mm,9,7,15.0,14
19,7,1/4/2019,2,1/18/2019,BC0280982,184,208,13,Permanent marker red 5mm nib (Red) 5mm,13,7,20.4,14
19,7,1/4/2019,2,1/18/2019,BC0280982,185,218,8,Void fill 300 L bag (White) 300L,8,7,180.0,14
2,4,1/1/2019,7,1/15/2019,293092,4,76,8,"""The Gu"" red shirt XML tag t-shirt (White) 3XS",8,6,84.0,6
2,4,1/1/2019,7,1/15/2019,293092,5,77,1,"""The Gu"" red shirt XML tag t-shirt (White) XXS",1,6,84.0,6
2,4,1/1/2019,7,1/15/2019,293092,6,78,1,"""The Gu"" red shirt XML tag t-shirt (White) XS",1,6,84.0,6
2,4,1/1/2019,7,1/15/2019,293092,7,80,2,"""The Gu"" red shirt XML tag t-shirt (White) M",2,6,84.0,6
2,4,1/1/2019,7,1/15/2019,293092,8,81,7,"""The Gu"" red shirt XML tag t-shirt (White) L",7,6,84.0,6
2,4,1/1/2019,7,1/15/2019,293092,9,84,3,"""The Gu"" red shirt XML tag t-shirt (White) 3XL",3,6,96.0,6
2,4,1/1/2019,7,1/15/2019,293092,10,85,5,"""The Gu"" red shirt XML tag t-shirt (White) 4XL",5,6,96.0,6
2,4,1/1/2019,7,1/15/2019,293092,11,86,1,"""The Gu"" red shirt XML tag t-shirt (White) 5XL",1,6,96.0,6
2,4,1/1/2019,7,1/15/2019,293092,12,88,9,"""The Gu"" red shirt XML tag t-shirt (White) 7XL",9,6,102.0,6
2,4,1/1/2019,7,1/15/2019,293092,13,89,6,"""The Gu"" red shirt XML tag t-shirt (Black) 3XS",6,6,84.0,6
2,4,1/1/2019,7,1/15/2019,293092,14,92,6,"""The Gu"" red shirt XML tag t-shirt (Black) S",6,6,84.0,6
2,4,1/1/2019,7,1/15/2019,293092,15,94,9,"""The Gu"" red shirt XML tag t-shirt (Black) L",9,6,84.0,6
2,4,1/1/2019,7,1/15/2019,293092,16,95,2,"""The Gu"" red shirt XML tag t-shirt (Black) XL",2,6,90.0,6
2,4,1/1/2019,7,1/15/2019,293092,17,98,1,"""The Gu"" red shirt XML tag t-shirt (Black) 4XL",1,6,96.0,6
2,4,1/1/2019,7,1/15/2019,293092,18,99,14,"""The Gu"" red shirt XML tag t-shirt (Black) 5XL",14,6,96.0,6
2,4,1/1/2019,7,1/15/2019,293092,19,100,14,"""The Gu"" red shirt XML tag t-shirt (Black) 6XL",14,6,96.0,6
2,4,1/1/2019,7,1/15/2019,293092,20,102,6,Alien officer hoodie (Black) XL,6,7,17.0,6
2,4,1/1/2019,7,1/15/2019,293092,21,104,10,Alien officer hoodie (Black) 3XL,10,7,17.0,6
2,4,1/1/2019,7,1/15/2019,293092,22,109,16,Superhero action jacket (Blue) XS,16,7,19.0,6
2,4,1/1/2019,7,1/15/2019,293092,23,110,12,Superhero action jacket (Blue) S,12,7,19.0,6
2,4,1/1/2019,7,1/15/2019,293092,24,111,7,Superhero action jacket (Blue) M,7,7,22.0,6
2,4,1/1/2019,7,1/15/2019,293092,25,113,6,Superhero action jacket (Blue) XL,6,7,22.0,6
2,4,1/1/2019,7,1/15/2019,293092,26,115,11,Superhero action jacket (Blue) 3XL,11,7,24.0,6
2,4,1/1/2019,7,1/15/2019,293092,27,121,22,Dinosaur battery-powered slippers (Green) XL,22,7,8.5,6
2,4,1/1/2019,7,1/15/2019,293092,28,123,25,Ogre battery-powered slippers (Green) M,25,7,8.0,6
2,4,1/1/2019,7,1/15/2019,293092,29,125,22,Ogre battery-powered slippers (Green) XL,22,7,8.5,6
2,4,1/1/2019,7,1/15/2019,293092,30,126,24,Plush shark slippers (Gray) S,24,7,8.0,6
2,4,1/1/2019,7,1/15/2019,293092,31,134,23,Animal with big feet slippers (Brown) S,23,7,8.0,6
2,4,1/1/2019,7,1/15/2019,293092,32,138,23,Furry animal socks (Pink) S,23,9,18.0,6
2,4,1/1/2019,7,1/15/2019,293092,33,141,16,Furry animal socks (Pink) XL,16,9,18.0,6
2,4,1/1/2019,7,1/15/2019,293092,34,146,16,Halloween skull mask (Gray) S,16,6,180.0,6
2,4,1/1/2019,7,1/15/2019,293092,35,147,17,Halloween skull mask (Gray) M,17,6,180.0,6
2,4,1/1/2019,7,1/15/2019,293092,36,148,14,Halloween skull mask (Gray) L,14,6,180.0,6
2,4,1/1/2019,7,1/15/2019,293092,37,149,12,Halloween skull mask (Gray) XL,12,6,180.0,6
20,10,1/4/2019,8,1/18/2019,ML0300202,186,69,50,Ride on toy sedan car (Blue) 1/12 scale,50,7,145.0,14
21,4,1/5/2019,7,1/25/2019,293092,187,77,2,"""The Gu"" red shirt XML tag t-shirt (White) XXS",2,6,84.0,14
21,4,1/5/2019,7,1/25/2019,293092,188,83,6,"""The Gu"" red shirt XML tag t-shirt (White) XXL",6,6,90.0,14
